"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 05:51:46 GMT 2024","Mon Mar 04 05:51:48 GMT 2024","2158","","Example feature","","","","Submitting form with credentials",""
"passed","Mon Mar 04 05:52:01 GMT 2024","Mon Mar 04 05:52:02 GMT 2024","1000","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Mon Mar 04 05:52:03 GMT 2024","Mon Mar 04 05:52:05 GMT 2024","2127","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Mon Mar 04 05:51:52 GMT 2024","Mon Mar 04 05:51:52 GMT 2024","402","","example to-do app","","","","can add new todo items",""
"passed","Mon Mar 04 05:52:28 GMT 2024","Mon Mar 04 05:52:33 GMT 2024","4587","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Mon Mar 04 05:52:02 GMT 2024","Mon Mar 04 05:52:03 GMT 2024","230","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Mon Mar 04 05:51:59 GMT 2024","Mon Mar 04 05:51:59 GMT 2024","219","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Mon Mar 04 05:52:09 GMT 2024","Mon Mar 04 05:52:09 GMT 2024","98","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Mon Mar 04 05:52:15 GMT 2024","Mon Mar 04 05:52:15 GMT 2024","93","","Location","","","","cy.location() - get window.location",""
"passed","Mon Mar 04 05:51:53 GMT 2024","Mon Mar 04 05:51:53 GMT 2024","284","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Mon Mar 04 05:52:09 GMT 2024","Mon Mar 04 05:52:09 GMT 2024","449","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Mon Mar 04 05:51:51 GMT 2024","Mon Mar 04 05:51:52 GMT 2024","591","","example to-do app","","","","displays two todo items by default",""
"passed","Mon Mar 04 05:52:10 GMT 2024","Mon Mar 04 05:52:11 GMT 2024","1591","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Mon Mar 04 05:52:19 GMT 2024","Mon Mar 04 05:52:19 GMT 2024","426","","Navigation","","","","cy.reload() - reload the page",""
"passed","Mon Mar 04 05:52:18 GMT 2024","Mon Mar 04 05:52:19 GMT 2024","1065","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Mon Mar 04 05:52:09 GMT 2024","Mon Mar 04 05:52:09 GMT 2024","108","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Mon Mar 04 05:52:33 GMT 2024","Mon Mar 04 05:52:34 GMT 2024","709","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Mon Mar 04 05:51:59 GMT 2024","Mon Mar 04 05:51:59 GMT 2024","206","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Mon Mar 04 05:52:09 GMT 2024","Mon Mar 04 05:52:09 GMT 2024","105","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Mon Mar 04 05:52:09 GMT 2024","Mon Mar 04 05:52:10 GMT 2024","100","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Mon Mar 04 05:52:14 GMT 2024","Mon Mar 04 05:52:15 GMT 2024","345","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Mon Mar 04 05:52:15 GMT 2024","Mon Mar 04 05:52:15 GMT 2024","85","","Location","","","","cy.url() - get the current URL",""
"passed","Mon Mar 04 05:51:52 GMT 2024","Mon Mar 04 05:51:53 GMT 2024","199","","example to-do app","","","","can check off an item as completed",""
"passed","Mon Mar 04 05:52:10 GMT 2024","Mon Mar 04 05:52:10 GMT 2024","102","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Mon Mar 04 05:52:19 GMT 2024","Mon Mar 04 05:52:19 GMT 2024","332","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Mon Mar 04 05:51:53 GMT 2024","Mon Mar 04 05:51:53 GMT 2024","285","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Mon Mar 04 05:51:59 GMT 2024","Mon Mar 04 05:52:00 GMT 2024","884","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Mon Mar 04 05:52:10 GMT 2024","Mon Mar 04 05:52:10 GMT 2024","88","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Mon Mar 04 05:52:02 GMT 2024","Mon Mar 04 05:52:02 GMT 2024","196","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Mon Mar 04 05:52:22 GMT 2024","Mon Mar 04 05:52:25 GMT 2024","2966","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Mon Mar 04 05:52:10 GMT 2024","Mon Mar 04 05:52:10 GMT 2024","99","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Mon Mar 04 05:52:00 GMT 2024","Mon Mar 04 05:52:01 GMT 2024","923","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Mon Mar 04 05:51:53 GMT 2024","Mon Mar 04 05:51:53 GMT 2024","268","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Mon Mar 04 05:51:56 GMT 2024","Mon Mar 04 05:51:59 GMT 2024","2465","","Actions","","","",".click() - click on a DOM element",""
