"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 05:15:08 GMT 2024","Thu Feb 01 05:15:09 GMT 2024","428","","Navigation","","","","cy.reload() - reload the page",""
"passed","Thu Feb 01 05:14:53 GMT 2024","Thu Feb 01 05:14:55 GMT 2024","2224","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Thu Feb 01 05:14:42 GMT 2024","Thu Feb 01 05:14:42 GMT 2024","394","","example to-do app","","","","can add new todo items",""
"passed","Thu Feb 01 05:14:43 GMT 2024","Thu Feb 01 05:14:43 GMT 2024","275","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:15:00 GMT 2024","101","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Thu Feb 01 05:15:09 GMT 2024","Thu Feb 01 05:15:09 GMT 2024","323","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Thu Feb 01 05:15:00 GMT 2024","Thu Feb 01 05:15:01 GMT 2024","1588","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Thu Feb 01 05:15:05 GMT 2024","Thu Feb 01 05:15:05 GMT 2024","92","","Location","","","","cy.location() - get window.location",""
"passed","Thu Feb 01 05:14:37 GMT 2024","Thu Feb 01 05:14:38 GMT 2024","1733","","Example feature","","","","Submitting form with credentials",""
"passed","Thu Feb 01 05:14:43 GMT 2024","Thu Feb 01 05:14:43 GMT 2024","275","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:14:59 GMT 2024","310","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Thu Feb 01 05:15:22 GMT 2024","Thu Feb 01 05:15:23 GMT 2024","466","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Thu Feb 01 05:15:18 GMT 2024","Thu Feb 01 05:15:22 GMT 2024","4502","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:14:59 GMT 2024","103","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Thu Feb 01 05:15:07 GMT 2024","Thu Feb 01 05:15:08 GMT 2024","886","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Thu Feb 01 05:14:43 GMT 2024","Thu Feb 01 05:14:43 GMT 2024","198","","example to-do app","","","","can check off an item as completed",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:14:59 GMT 2024","147","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Thu Feb 01 05:15:05 GMT 2024","Thu Feb 01 05:15:05 GMT 2024","78","","Location","","","","cy.url() - get the current URL",""
"passed","Thu Feb 01 05:15:12 GMT 2024","Thu Feb 01 05:15:15 GMT 2024","2876","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Thu Feb 01 05:15:04 GMT 2024","Thu Feb 01 05:15:05 GMT 2024","267","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Thu Feb 01 05:15:00 GMT 2024","Thu Feb 01 05:15:00 GMT 2024","90","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Thu Feb 01 05:14:52 GMT 2024","Thu Feb 01 05:14:53 GMT 2024","266","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Thu Feb 01 05:14:50 GMT 2024","Thu Feb 01 05:14:51 GMT 2024","928","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Thu Feb 01 05:14:51 GMT 2024","Thu Feb 01 05:14:52 GMT 2024","964","","Actions","","","",".select() - select an option in a <select> element",""
"passed","Thu Feb 01 05:14:49 GMT 2024","Thu Feb 01 05:14:49 GMT 2024","210","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Thu Feb 01 05:14:42 GMT 2024","Thu Feb 01 05:14:42 GMT 2024","336","","example to-do app","","","","displays two todo items by default",""
"passed","Thu Feb 01 05:14:52 GMT 2024","Thu Feb 01 05:14:52 GMT 2024","224","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Thu Feb 01 05:14:46 GMT 2024","Thu Feb 01 05:14:49 GMT 2024","2431","","Actions","","","",".click() - click on a DOM element",""
"passed","Thu Feb 01 05:14:49 GMT 2024","Thu Feb 01 05:14:49 GMT 2024","211","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Thu Feb 01 05:14:49 GMT 2024","Thu Feb 01 05:14:50 GMT 2024","883","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Thu Feb 01 05:15:00 GMT 2024","Thu Feb 01 05:15:00 GMT 2024","94","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:14:59 GMT 2024","99","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Thu Feb 01 05:14:59 GMT 2024","Thu Feb 01 05:14:59 GMT 2024","95","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Thu Feb 01 05:14:43 GMT 2024","Thu Feb 01 05:14:44 GMT 2024","267","example to-do app","with a checked task","","","","can delete all completed tasks",""
