"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","pass your own callback function to should()","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","287","can filter for completed tasks","example to-do app","2026-08-13","passed","2026-08-13","","with a checked task","",""
"","2904","cy.viewport() - set the viewport size and dimension","","2026-08-13","passed","2026-08-13","","Viewport","",""
"","220",".dblclick() - double click on a DOM element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","122",".and() - chain multiple assertions together","Assertions","2026-08-13","passed","2026-08-13","","Implicit Assertions","",""
"","569","cy.wait() - wait for a specific route","","2026-08-13","passed","2026-08-13","","Waiting","",""
"","92","cy.location() - get window.location","","2026-08-13","passed","2026-08-13","","Location","",""
"","401","cy.reload() - reload the page","","2026-08-13","passed","2026-08-13","","Navigation","",""
"","100","expect - make an assertion about a specified subject","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","189","can check off an item as completed","","2026-08-13","passed","2026-08-13","","example to-do app","",""
"","903",".check() - check a checkbox or radio element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","404","can add new todo items","","2026-08-13","passed","2026-08-13","","example to-do app","",""
"","977",".select() - select an option in a <select> element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","2484",".click() - click on a DOM element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","1782","Submitting form with credentials","","2026-08-13","passed","2026-08-13","","Example feature","",""
"","278","can filter for uncompleted tasks","example to-do app","2026-08-13","passed","2026-08-13","","with a checked task","",""
"","100","matches unknown text between two elements","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","86","assert - assert shape of an object","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","209",".rightclick() - right click on a DOM element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","105","can throw any error","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","100","finds element by class name regex","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","287","can delete all completed tasks","example to-do app","2026-08-13","passed","2026-08-13","","with a checked task","",""
"","924",".uncheck() - uncheck a checkbox element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","250","cy.hash() - get the current URL hash","","2026-08-13","passed","2026-08-13","","Location","",""
"","136",".scrollIntoView() - scroll an element into view","","2026-08-13","passed","2026-08-13","","Actions","",""
"","87","cy.url() - get the current URL","","2026-08-13","passed","2026-08-13","","Location","",""
"","4543","cy.wait() - wait for a specific amount of time","","2026-08-13","passed","2026-08-13","","Waiting","",""
"","326","cy.visit() - visit a remote url","","2026-08-13","passed","2026-08-13","","Navigation","",""
"","157",".trigger() - trigger an event on a DOM element","","2026-08-13","passed","2026-08-13","","Actions","",""
"","917","cy.go() - go back or forward in the browser's history","","2026-08-13","passed","2026-08-13","","Navigation","",""
"","368","displays two todo items by default","","2026-08-13","passed","2026-08-13","","example to-do app","",""
"","1591","retries the should callback until assertions pass","Assertions","2026-08-13","passed","2026-08-13","","Explicit Assertions","",""
"","331",".should() - make an assertion about the current subject","Assertions","2026-08-13","passed","2026-08-13","","Implicit Assertions","",""
"","2139","cy.scrollTo() - scroll the window or element to a position","","2026-08-13","passed","2026-08-13","","Actions","",""
