"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","934",".check() - check a checkbox or radio element","","Thu Jan 08 05:28:33 UTC 2026","passed","Thu Jan 08 05:28:34 UTC 2026","","Actions","",""
"","108","assert - assert shape of an object","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","742","cy.wait() - wait for a specific route","","Thu Jan 08 05:29:07 UTC 2026","passed","Thu Jan 08 05:29:07 UTC 2026","","Waiting","",""
"","116","matches unknown text between two elements","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","111","can throw any error","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","106","cy.url() - get the current URL","","Thu Jan 08 05:28:48 UTC 2026","passed","Thu Jan 08 05:28:49 UTC 2026","","Location","",""
"","113","cy.location() - get window.location","","Thu Jan 08 05:28:48 UTC 2026","passed","Thu Jan 08 05:28:48 UTC 2026","","Location","",""
"","214","can check off an item as completed","","Thu Jan 08 05:28:26 UTC 2026","passed","Thu Jan 08 05:28:26 UTC 2026","","example to-do app","",""
"","167",".trigger() - trigger an event on a DOM element","","Thu Jan 08 05:28:36 UTC 2026","passed","Thu Jan 08 05:28:36 UTC 2026","","Actions","",""
"","386",".should() - make an assertion about the current subject","Assertions","Thu Jan 08 05:28:42 UTC 2026","passed","Thu Jan 08 05:28:42 UTC 2026","","Implicit Assertions","",""
"","389",".dblclick() - double click on a DOM element","","Thu Jan 08 05:28:32 UTC 2026","passed","Thu Jan 08 05:28:33 UTC 2026","","Actions","",""
"","461","cy.reload() - reload the page","","Thu Jan 08 05:28:52 UTC 2026","passed","Thu Jan 08 05:28:53 UTC 2026","","Navigation","",""
"","638","displays two todo items by default","","Thu Jan 08 05:28:25 UTC 2026","passed","Thu Jan 08 05:28:25 UTC 2026","","example to-do app","",""
"","931",".uncheck() - uncheck a checkbox element","","Thu Jan 08 05:28:34 UTC 2026","passed","Thu Jan 08 05:28:35 UTC 2026","","Actions","",""
"","1927","Submitting form with credentials","","Thu Jan 08 05:28:20 UTC 2026","passed","Thu Jan 08 05:28:21 UTC 2026","","Example feature","",""
"","123","pass your own callback function to should()","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","2934","cy.viewport() - set the viewport size and dimension","","Thu Jan 08 05:28:56 UTC 2026","passed","Thu Jan 08 05:28:59 UTC 2026","","Viewport","",""
"","296","can filter for uncompleted tasks","example to-do app","Thu Jan 08 05:28:26 UTC 2026","passed","Thu Jan 08 05:28:26 UTC 2026","","with a checked task","",""
"","4566","cy.wait() - wait for a specific amount of time","","Thu Jan 08 05:29:02 UTC 2026","passed","Thu Jan 08 05:29:07 UTC 2026","","Waiting","",""
"","2145","cy.scrollTo() - scroll the window or element to a position","","Thu Jan 08 05:28:36 UTC 2026","passed","Thu Jan 08 05:28:38 UTC 2026","","Actions","",""
"","120","finds element by class name regex","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","220",".rightclick() - right click on a DOM element","","Thu Jan 08 05:28:33 UTC 2026","passed","Thu Jan 08 05:28:33 UTC 2026","","Actions","",""
"","953","cy.go() - go back or forward in the browser's history","","Thu Jan 08 05:28:51 UTC 2026","passed","Thu Jan 08 05:28:52 UTC 2026","","Navigation","",""
"","296","can filter for completed tasks","example to-do app","Thu Jan 08 05:28:26 UTC 2026","passed","Thu Jan 08 05:28:27 UTC 2026","","with a checked task","",""
"","125",".and() - chain multiple assertions together","Assertions","Thu Jan 08 05:28:42 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Implicit Assertions","",""
"","2537",".click() - click on a DOM element","","Thu Jan 08 05:28:30 UTC 2026","passed","Thu Jan 08 05:28:32 UTC 2026","","Actions","",""
"","322","cy.hash() - get the current URL hash","","Thu Jan 08 05:28:48 UTC 2026","passed","Thu Jan 08 05:28:48 UTC 2026","","Location","",""
"","145",".scrollIntoView() - scroll an element into view","","Thu Jan 08 05:28:36 UTC 2026","passed","Thu Jan 08 05:28:36 UTC 2026","","Actions","",""
"","1003",".select() - select an option in a <select> element","","Thu Jan 08 05:28:35 UTC 2026","passed","Thu Jan 08 05:28:36 UTC 2026","","Actions","",""
"","1601","retries the should callback until assertions pass","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:45 UTC 2026","","Explicit Assertions","",""
"","284","can delete all completed tasks","example to-do app","Thu Jan 08 05:28:27 UTC 2026","passed","Thu Jan 08 05:28:27 UTC 2026","","with a checked task","",""
"","116","expect - make an assertion about a specified subject","Assertions","Thu Jan 08 05:28:43 UTC 2026","passed","Thu Jan 08 05:28:43 UTC 2026","","Explicit Assertions","",""
"","357","cy.visit() - visit a remote url","","Thu Jan 08 05:28:53 UTC 2026","passed","Thu Jan 08 05:28:53 UTC 2026","","Navigation","",""
"","407","can add new todo items","","Thu Jan 08 05:28:25 UTC 2026","passed","Thu Jan 08 05:28:26 UTC 2026","","example to-do app","",""
