"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2523",".click() - click on a DOM element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","99","expect - make an assertion about a specified subject","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","909",".check() - check a checkbox or radio element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","275","can delete all completed tasks","example to-do app","2026-06-02","passed","2026-06-02","","with a checked task","",""
"","332","cy.visit() - visit a remote url","","2026-06-02","passed","2026-06-02","","Navigation","",""
"","111","pass your own callback function to should()","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","1807","Submitting form with credentials","","2026-06-02","passed","2026-06-02","","Example feature","",""
"","2240","cy.scrollTo() - scroll the window or element to a position","","2026-06-02","passed","2026-06-02","","Actions","",""
"","91","cy.location() - get window.location","","2026-06-02","passed","2026-06-02","","Location","",""
"","207",".trigger() - trigger an event on a DOM element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","404","can add new todo items","","2026-06-02","passed","2026-06-02","","example to-do app","",""
"","912","cy.go() - go back or forward in the browser's history","","2026-06-02","passed","2026-06-02","","Navigation","",""
"","371",".should() - make an assertion about the current subject","Assertions","2026-06-02","passed","2026-06-02","","Implicit Assertions","",""
"","211",".rightclick() - right click on a DOM element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","287","can filter for uncompleted tasks","example to-do app","2026-06-02","passed","2026-06-02","","with a checked task","",""
"","1595","retries the should callback until assertions pass","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","94","matches unknown text between two elements","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","925",".uncheck() - uncheck a checkbox element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","115",".and() - chain multiple assertions together","Assertions","2026-06-02","passed","2026-06-02","","Implicit Assertions","",""
"","407","cy.reload() - reload the page","","2026-06-02","passed","2026-06-02","","Navigation","",""
"","1042",".select() - select an option in a <select> element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","106","finds element by class name regex","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","215",".dblclick() - double click on a DOM element","","2026-06-02","passed","2026-06-02","","Actions","",""
"","108","can throw any error","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","4534","cy.wait() - wait for a specific amount of time","","2026-06-02","passed","2026-06-02","","Waiting","",""
"","280","can filter for completed tasks","example to-do app","2026-06-02","passed","2026-06-02","","with a checked task","",""
"","256","cy.hash() - get the current URL hash","","2026-06-02","passed","2026-06-02","","Location","",""
"","234",".scrollIntoView() - scroll an element into view","","2026-06-02","passed","2026-06-02","","Actions","",""
"","86","cy.url() - get the current URL","","2026-06-02","passed","2026-06-02","","Location","",""
"","390","cy.wait() - wait for a specific route","","2026-06-02","passed","2026-06-02","","Waiting","",""
"","105","assert - assert shape of an object","Assertions","2026-06-02","passed","2026-06-02","","Explicit Assertions","",""
"","2917","cy.viewport() - set the viewport size and dimension","","2026-06-02","passed","2026-06-02","","Viewport","",""
"","195","can check off an item as completed","","2026-06-02","passed","2026-06-02","","example to-do app","",""
"","387","displays two todo items by default","","2026-06-02","passed","2026-06-02","","example to-do app","",""
