"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174",".trigger() - trigger an event on a DOM element","","Tue Apr 08 05:20:57 GMT 2025","passed","Tue Apr 08 05:20:58 GMT 2025","","Actions","",""
"","1000",".select() - select an option in a <select> element","","Tue Apr 08 05:20:56 GMT 2025","passed","Tue Apr 08 05:20:57 GMT 2025","","Actions","",""
"","3037","cy.viewport() - set the viewport size and dimension","","Tue Apr 08 05:21:18 GMT 2025","passed","Tue Apr 08 05:21:21 GMT 2025","","Viewport","",""
"","919",".uncheck() - uncheck a checkbox element","","Tue Apr 08 05:20:55 GMT 2025","passed","Tue Apr 08 05:20:56 GMT 2025","","Actions","",""
"","1058","cy.go() - go back or forward in the browser's history","","Tue Apr 08 05:21:13 GMT 2025","passed","Tue Apr 08 05:21:14 GMT 2025","","Navigation","",""
"","294","can delete all completed tasks","example to-do app","Tue Apr 08 05:20:48 GMT 2025","passed","Tue Apr 08 05:20:48 GMT 2025","","with a checked task","",""
"","675","displays two todo items by default","","Tue Apr 08 05:20:46 GMT 2025","passed","Tue Apr 08 05:20:47 GMT 2025","","example to-do app","",""
"","118","pass your own callback function to should()","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Explicit Assertions","",""
"","120","finds element by class name regex","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Explicit Assertions","",""
"","2249","Submitting form with credentials","","Tue Apr 08 05:20:41 GMT 2025","passed","Tue Apr 08 05:20:43 GMT 2025","","Example feature","",""
"","134",".and() - chain multiple assertions together","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Implicit Assertions","",""
"","2204","cy.scrollTo() - scroll the window or element to a position","","Tue Apr 08 05:20:58 GMT 2025","passed","Tue Apr 08 05:21:00 GMT 2025","","Actions","",""
"","928",".check() - check a checkbox or radio element","","Tue Apr 08 05:20:54 GMT 2025","passed","Tue Apr 08 05:20:55 GMT 2025","","Actions","",""
"","112","can throw any error","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Explicit Assertions","",""
"","2520",".click() - click on a DOM element","","Tue Apr 08 05:20:51 GMT 2025","passed","Tue Apr 08 05:20:54 GMT 2025","","Actions","",""
"","444","can add new todo items","","Tue Apr 08 05:20:47 GMT 2025","passed","Tue Apr 08 05:20:47 GMT 2025","","example to-do app","",""
"","298","can filter for completed tasks","example to-do app","Tue Apr 08 05:20:48 GMT 2025","passed","Tue Apr 08 05:20:48 GMT 2025","","with a checked task","",""
"","111","cy.location() - get window.location","","Tue Apr 08 05:21:10 GMT 2025","passed","Tue Apr 08 05:21:10 GMT 2025","","Location","",""
"","371","cy.visit() - visit a remote url","","Tue Apr 08 05:21:14 GMT 2025","passed","Tue Apr 08 05:21:15 GMT 2025","","Navigation","",""
"","109","assert - assert shape of an object","Assertions","Tue Apr 08 05:21:05 GMT 2025","passed","Tue Apr 08 05:21:05 GMT 2025","","Explicit Assertions","",""
"","227",".rightclick() - right click on a DOM element","","Tue Apr 08 05:20:54 GMT 2025","passed","Tue Apr 08 05:20:54 GMT 2025","","Actions","",""
"","1594","retries the should callback until assertions pass","Assertions","Tue Apr 08 05:21:05 GMT 2025","passed","Tue Apr 08 05:21:06 GMT 2025","","Explicit Assertions","",""
"","473","cy.reload() - reload the page","","Tue Apr 08 05:21:14 GMT 2025","passed","Tue Apr 08 05:21:14 GMT 2025","","Navigation","",""
"","107","expect - make an assertion about a specified subject","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Explicit Assertions","",""
"","375","cy.hash() - get the current URL hash","","Tue Apr 08 05:21:09 GMT 2025","passed","Tue Apr 08 05:21:10 GMT 2025","","Location","",""
"","290","can filter for uncompleted tasks","example to-do app","Tue Apr 08 05:20:47 GMT 2025","passed","Tue Apr 08 05:20:48 GMT 2025","","with a checked task","",""
"","94","cy.url() - get the current URL","","Tue Apr 08 05:21:10 GMT 2025","passed","Tue Apr 08 05:21:10 GMT 2025","","Location","",""
"","690","cy.wait() - wait for a specific route","","Tue Apr 08 05:21:28 GMT 2025","passed","Tue Apr 08 05:21:29 GMT 2025","","Waiting","",""
"","146",".scrollIntoView() - scroll an element into view","","Tue Apr 08 05:20:57 GMT 2025","passed","Tue Apr 08 05:20:57 GMT 2025","","Actions","",""
"","123","matches unknown text between two elements","Assertions","Tue Apr 08 05:21:04 GMT 2025","passed","Tue Apr 08 05:21:05 GMT 2025","","Explicit Assertions","",""
"","4657","cy.wait() - wait for a specific amount of time","","Tue Apr 08 05:21:24 GMT 2025","passed","Tue Apr 08 05:21:28 GMT 2025","","Waiting","",""
"","219","can check off an item as completed","","Tue Apr 08 05:20:47 GMT 2025","passed","Tue Apr 08 05:20:47 GMT 2025","","example to-do app","",""
"","428",".should() - make an assertion about the current subject","Assertions","Tue Apr 08 05:21:03 GMT 2025","passed","Tue Apr 08 05:21:04 GMT 2025","","Implicit Assertions","",""
"","242",".dblclick() - double click on a DOM element","","Tue Apr 08 05:20:54 GMT 2025","passed","Tue Apr 08 05:20:54 GMT 2025","","Actions","",""
