"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 26 05:14:54 GMT 2023","Wed Jul 26 05:14:54 GMT 2023","241","Assertions","Explicit Assertions","","","","matches unknown text between two elements",""
"passed","Wed Jul 26 05:15:27 GMT 2023","Wed Jul 26 05:15:28 GMT 2023","662","","Waiting","","","","cy.wait() - wait for a specific route",""
"passed","Wed Jul 26 05:14:44 GMT 2023","Wed Jul 26 05:14:44 GMT 2023","295","","Actions","","","",".trigger() - trigger an event on a DOM element",""
"passed","Wed Jul 26 05:15:14 GMT 2023","Wed Jul 26 05:15:17 GMT 2023","3207","","Viewport","","","","cy.viewport() - set the viewport size and dimension",""
"passed","Wed Jul 26 05:14:54 GMT 2023","Wed Jul 26 05:14:54 GMT 2023","249","Assertions","Explicit Assertions","","","","finds element by class name regex",""
"passed","Wed Jul 26 05:14:53 GMT 2023","Wed Jul 26 05:14:53 GMT 2023","224","Assertions","Implicit Assertions","","","",".and() - chain multiple assertions together",""
"passed","Wed Jul 26 05:15:09 GMT 2023","Wed Jul 26 05:15:09 GMT 2023","600","","Navigation","","","","cy.visit() - visit a remote url",""
"passed","Wed Jul 26 05:14:41 GMT 2023","Wed Jul 26 05:14:42 GMT 2023","1347","","Actions","","","",".uncheck() - uncheck a checkbox element",""
"passed","Wed Jul 26 05:14:30 GMT 2023","Wed Jul 26 05:14:31 GMT 2023","414","example to-do app","with a checked task","","","","can delete all completed tasks",""
"passed","Wed Jul 26 05:14:54 GMT 2023","Wed Jul 26 05:14:54 GMT 2023","207","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Wed Jul 26 05:14:39 GMT 2023","Wed Jul 26 05:14:39 GMT 2023","380","","Actions","","","",".dblclick() - double click on a DOM element",""
"passed","Wed Jul 26 05:15:08 GMT 2023","Wed Jul 26 05:15:08 GMT 2023","610","","Navigation","","","","cy.reload() - reload the page",""
"passed","Wed Jul 26 05:14:43 GMT 2023","Wed Jul 26 05:14:44 GMT 2023","315","","Actions","","","",".scrollIntoView() - scroll an element into view",""
"passed","Wed Jul 26 05:14:28 GMT 2023","Wed Jul 26 05:14:28 GMT 2023","685","","example to-do app","","","","displays two todo items by default",""
"passed","Wed Jul 26 05:15:02 GMT 2023","Wed Jul 26 05:15:02 GMT 2023","186","","Location","","","","cy.location() - get window.location",""
"passed","Wed Jul 26 05:14:30 GMT 2023","Wed Jul 26 05:14:30 GMT 2023","449","example to-do app","with a checked task","","","","can filter for completed tasks",""
"passed","Wed Jul 26 05:14:36 GMT 2023","Wed Jul 26 05:14:39 GMT 2023","3183","","Actions","","","",".click() - click on a DOM element",""
"passed","Wed Jul 26 05:14:55 GMT 2023","Wed Jul 26 05:14:56 GMT 2023","1705","Assertions","Explicit Assertions","","","","retries the should callback until assertions pass",""
"passed","Wed Jul 26 05:15:02 GMT 2023","Wed Jul 26 05:15:02 GMT 2023","511","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Wed Jul 26 05:14:39 GMT 2023","Wed Jul 26 05:14:39 GMT 2023","332","","Actions","","","",".rightclick() - right click on a DOM element",""
"passed","Wed Jul 26 05:15:02 GMT 2023","Wed Jul 26 05:15:03 GMT 2023","178","","Location","","","","cy.url() - get the current URL",""
"passed","Wed Jul 26 05:14:40 GMT 2023","Wed Jul 26 05:14:41 GMT 2023","1146","","Actions","","","",".check() - check a checkbox or radio element",""
"passed","Wed Jul 26 05:14:29 GMT 2023","Wed Jul 26 05:14:29 GMT 2023","366","","example to-do app","","","","can check off an item as completed",""
"passed","Wed Jul 26 05:14:52 GMT 2023","Wed Jul 26 05:14:53 GMT 2023","592","Assertions","Implicit Assertions","","","",".should() - make an assertion about the current subject",""
"passed","Wed Jul 26 05:15:22 GMT 2023","Wed Jul 26 05:15:27 GMT 2023","4884","","Waiting","","","","cy.wait() - wait for a specific amount of time",""
"passed","Wed Jul 26 05:15:07 GMT 2023","Wed Jul 26 05:15:08 GMT 2023","1273","","Navigation","","","","cy.go() - go back or forward in the browser's history",""
"passed","Wed Jul 26 05:14:53 GMT 2023","Wed Jul 26 05:14:53 GMT 2023","225","Assertions","Explicit Assertions","","","","expect - make an assertion about a specified subject",""
"passed","Wed Jul 26 05:14:44 GMT 2023","Wed Jul 26 05:14:46 GMT 2023","2222","","Actions","","","","cy.scrollTo() - scroll the window or element to a position",""
"passed","Wed Jul 26 05:14:19 GMT 2023","Wed Jul 26 05:14:22 GMT 2023","2816","","Example feature","","","","Submitting form with credentials",""
"passed","Wed Jul 26 05:14:54 GMT 2023","Wed Jul 26 05:14:55 GMT 2023","194","Assertions","Explicit Assertions","","","","assert - assert shape of an object",""
"passed","Wed Jul 26 05:14:53 GMT 2023","Wed Jul 26 05:14:54 GMT 2023","198","Assertions","Explicit Assertions","","","","pass your own callback function to should()",""
"passed","Wed Jul 26 05:14:28 GMT 2023","Wed Jul 26 05:14:29 GMT 2023","571","","example to-do app","","","","can add new todo items",""
"passed","Wed Jul 26 05:14:29 GMT 2023","Wed Jul 26 05:14:30 GMT 2023","450","example to-do app","with a checked task","","","","can filter for uncompleted tasks",""
"passed","Wed Jul 26 05:14:42 GMT 2023","Wed Jul 26 05:14:43 GMT 2023","1258","","Actions","","","",".select() - select an option in a <select> element",""
