"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","936",".check() - check a checkbox or radio element","","Tue Mar 10 05:49:31 UTC 2026","passed","Tue Mar 10 05:49:32 UTC 2026","","Actions","",""
"","2518",".click() - click on a DOM element","","Tue Mar 10 05:49:28 UTC 2026","passed","Tue Mar 10 05:49:31 UTC 2026","","Actions","",""
"","96","can throw any error","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Explicit Assertions","",""
"","203",".rightclick() - right click on a DOM element","","Tue Mar 10 05:49:31 UTC 2026","passed","Tue Mar 10 05:49:31 UTC 2026","","Actions","",""
"","421","cy.reload() - reload the page","","Tue Mar 10 05:49:50 UTC 2026","passed","Tue Mar 10 05:49:51 UTC 2026","","Navigation","",""
"","293","can delete all completed tasks","example to-do app","Tue Mar 10 05:49:25 UTC 2026","passed","Tue Mar 10 05:49:25 UTC 2026","","with a checked task","",""
"","102","expect - make an assertion about a specified subject","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Explicit Assertions","",""
"","922","cy.go() - go back or forward in the browser's history","","Tue Mar 10 05:49:50 UTC 2026","passed","Tue Mar 10 05:49:50 UTC 2026","","Navigation","",""
"","2915","cy.viewport() - set the viewport size and dimension","","Tue Mar 10 05:49:54 UTC 2026","passed","Tue Mar 10 05:49:57 UTC 2026","","Viewport","",""
"","2213","cy.scrollTo() - scroll the window or element to a position","","Tue Mar 10 05:49:35 UTC 2026","passed","Tue Mar 10 05:49:37 UTC 2026","","Actions","",""
"","4531","cy.wait() - wait for a specific amount of time","","Tue Mar 10 05:50:00 UTC 2026","passed","Tue Mar 10 05:50:05 UTC 2026","","Waiting","",""
"","216","can check off an item as completed","","Tue Mar 10 05:49:24 UTC 2026","passed","Tue Mar 10 05:49:24 UTC 2026","","example to-do app","",""
"","427","displays two todo items by default","","Tue Mar 10 05:49:23 UTC 2026","passed","Tue Mar 10 05:49:24 UTC 2026","","example to-do app","",""
"","428","can add new todo items","","Tue Mar 10 05:49:24 UTC 2026","passed","Tue Mar 10 05:49:24 UTC 2026","","example to-do app","",""
"","307","can filter for completed tasks","example to-do app","Tue Mar 10 05:49:25 UTC 2026","passed","Tue Mar 10 05:49:25 UTC 2026","","with a checked task","",""
"","113","finds element by class name regex","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Explicit Assertions","",""
"","102","assert - assert shape of an object","Assertions","Tue Mar 10 05:49:42 UTC 2026","passed","Tue Mar 10 05:49:42 UTC 2026","","Explicit Assertions","",""
"","331","cy.visit() - visit a remote url","","Tue Mar 10 05:49:51 UTC 2026","passed","Tue Mar 10 05:49:51 UTC 2026","","Navigation","",""
"","1827","Submitting form with credentials","","Tue Mar 10 05:49:18 UTC 2026","passed","Tue Mar 10 05:49:20 UTC 2026","","Example feature","",""
"","110","matches unknown text between two elements","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:42 UTC 2026","","Explicit Assertions","",""
"","941",".uncheck() - uncheck a checkbox element","","Tue Mar 10 05:49:32 UTC 2026","passed","Tue Mar 10 05:49:33 UTC 2026","","Actions","",""
"","86","cy.url() - get the current URL","","Tue Mar 10 05:49:47 UTC 2026","passed","Tue Mar 10 05:49:47 UTC 2026","","Location","",""
"","267","cy.hash() - get the current URL hash","","Tue Mar 10 05:49:46 UTC 2026","passed","Tue Mar 10 05:49:47 UTC 2026","","Location","",""
"","108","cy.location() - get window.location","","Tue Mar 10 05:49:47 UTC 2026","passed","Tue Mar 10 05:49:47 UTC 2026","","Location","",""
"","991",".select() - select an option in a <select> element","","Tue Mar 10 05:49:33 UTC 2026","passed","Tue Mar 10 05:49:34 UTC 2026","","Actions","",""
"","134",".and() - chain multiple assertions together","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Implicit Assertions","",""
"","112","pass your own callback function to should()","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Explicit Assertions","",""
"","562","cy.wait() - wait for a specific route","","Tue Mar 10 05:50:05 UTC 2026","passed","Tue Mar 10 05:50:05 UTC 2026","","Waiting","",""
"","303","can filter for uncompleted tasks","example to-do app","Tue Mar 10 05:49:24 UTC 2026","passed","Tue Mar 10 05:49:25 UTC 2026","","with a checked task","",""
"","232",".dblclick() - double click on a DOM element","","Tue Mar 10 05:49:31 UTC 2026","passed","Tue Mar 10 05:49:31 UTC 2026","","Actions","",""
"","349",".should() - make an assertion about the current subject","Assertions","Tue Mar 10 05:49:41 UTC 2026","passed","Tue Mar 10 05:49:41 UTC 2026","","Implicit Assertions","",""
"","1581","retries the should callback until assertions pass","Assertions","Tue Mar 10 05:49:42 UTC 2026","passed","Tue Mar 10 05:49:43 UTC 2026","","Explicit Assertions","",""
"","171",".trigger() - trigger an event on a DOM element","","Tue Mar 10 05:49:34 UTC 2026","passed","Tue Mar 10 05:49:35 UTC 2026","","Actions","",""
"","141",".scrollIntoView() - scroll an element into view","","Tue Mar 10 05:49:34 UTC 2026","passed","Tue Mar 10 05:49:34 UTC 2026","","Actions","",""
