"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149",".trigger() - trigger an event on a DOM element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","129",".and() - chain multiple assertions together","Assertions","2026-07-05","passed","2026-07-05","","Implicit Assertions","",""
"","293",".dblclick() - double click on a DOM element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","179",".scrollIntoView() - scroll an element into view","","2026-07-05","passed","2026-07-05","","Actions","",""
"","101","matches unknown text between two elements","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","1989","Submitting form with credentials","","2026-07-05","passed","2026-07-05","","Example feature","",""
"","2915","cy.viewport() - set the viewport size and dimension","","2026-07-05","passed","2026-07-05","","Viewport","",""
"","983","cy.go() - go back or forward in the browser's history","","2026-07-05","passed","2026-07-05","","Navigation","",""
"","110","cy.location() - get window.location","","2026-07-05","passed","2026-07-05","","Location","",""
"","4547","cy.wait() - wait for a specific amount of time","","2026-07-05","passed","2026-07-05","","Waiting","",""
"","865",".check() - check a checkbox or radio element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","262","can delete all completed tasks","example to-do app","2026-07-05","passed","2026-07-05","","with a checked task","",""
"","332","cy.visit() - visit a remote url","","2026-07-05","passed","2026-07-05","","Navigation","",""
"","912",".select() - select an option in a <select> element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","878",".uncheck() - uncheck a checkbox element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","84","cy.url() - get the current URL","","2026-07-05","passed","2026-07-05","","Location","",""
"","531","cy.wait() - wait for a specific route","","2026-07-05","passed","2026-07-05","","Waiting","",""
"","200",".rightclick() - right click on a DOM element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","97","finds element by class name regex","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","2362",".click() - click on a DOM element","","2026-07-05","passed","2026-07-05","","Actions","",""
"","385","can add new todo items","","2026-07-05","passed","2026-07-05","","example to-do app","",""
"","291","can filter for completed tasks","example to-do app","2026-07-05","passed","2026-07-05","","with a checked task","",""
"","330","cy.hash() - get the current URL hash","","2026-07-05","passed","2026-07-05","","Location","",""
"","1593","retries the should callback until assertions pass","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","107","pass your own callback function to should()","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","108","assert - assert shape of an object","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","109","can throw any error","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","383",".should() - make an assertion about the current subject","Assertions","2026-07-05","passed","2026-07-05","","Implicit Assertions","",""
"","441","cy.reload() - reload the page","","2026-07-05","passed","2026-07-05","","Navigation","",""
"","132","expect - make an assertion about a specified subject","Assertions","2026-07-05","passed","2026-07-05","","Explicit Assertions","",""
"","194","can check off an item as completed","","2026-07-05","passed","2026-07-05","","example to-do app","",""
"","274","can filter for uncompleted tasks","example to-do app","2026-07-05","passed","2026-07-05","","with a checked task","",""
"","2216","cy.scrollTo() - scroll the window or element to a position","","2026-07-05","passed","2026-07-05","","Actions","",""
"","500","displays two todo items by default","","2026-07-05","passed","2026-07-05","","example to-do app","",""
